Male,Asian,White,Black,top,right,bottom,left
0.12570647293731738,0.9618686889417882,0.10560816824047735,0.0078115115740601355,153,279,205,227
0.16252859589195204,0.9649724690485626,0.036507309554485945,0.0023885162402069813,130,636,182,584
0.9139674240074406,0.8204336596959477,0.016501163694129913,0.08910905917717447,170,66,222,14
0.9579869201848612,0.9620197863769229,0.0656443999098614,0.006270506156863764,141,463,193,412
0.3484480841990926,0.9638239509316187,0.05774633505804108,0.0016394668045493653,267,246,329,183
0.8728054644470213,0.7651153456133098,0.09400547131959931,0.0023990337709763596,14,101,50,65
0.06526228474120724,0.9599717109049278,0.077235958996601,0.0007842147483553448,38,521,74,485
0.02857845240443669,0.994881058981796,0.021007788096596074,0.005326213715016294,2,633,38,597
0.021962192190131402,0.09596877155750713,0.42115095937836766,0.004006356828312512,246,494,308,432
0.08127778831594291,0.9504561388222604,0.16490616714880849,0.0011225694506021998,6,381,42,345
0.015299355720963631,0.1395070460235213,0.37330592145529434,0.003991094615629059,2,273,38,237
